sample,db,method,prct_matched,prct_not_matched,p,c
2x_Zea_mays.fq,gtdb,lsh,94.6675266623667,5.332473337633316,6,0
5x_Coffee_arabica.fq,gtdb,lsh,95.55852220738896,4.441477792611039,6,0
10x_Cca.fq,gtdb,lsh,67.98266008669957,32.017339913300425,6,1
10x_Cil.fq,gtdb,lsh,67.94816025919873,32.051839740801285,6,1
10x_Oryza_sativa.fq,gtdb,lsh,66.41066794666027,33.58933205333973,6,1
10x_Prunus_persica.fq,gtdb,lsh,67.1681641591792,32.8318358408208,6,1
15x_Arabidopsis_lyrata.fq,gtdb,lsh,69.82465087674562,30.175349123254374,6,1
20x_Arabidopsis_thaliana.fq,gtdb,lsh,69.34165329173354,30.658346708266464,6,1
250x_Bathycoccus_prasinos.fq,gtdb,lsh,67.57016214918924,32.42983785081076,6,1
2x_Nicotiana_sylvestris.fq,gtdb,lsh,59.7432012839936,40.256798716006415,6,1
2x_Zea_mays.fq,gtdb,lsh,64.04967975160125,35.950320248398754,6,1
5x_Coffee_arabica.fq,gtdb,lsh,67.06166469167654,32.93833530832346,6,1
10x_Cca.fq,gtdb,lsh,46.234268828655864,53.765731171344136,6,2
10x_Cil.fq,gtdb,lsh,46.1442692786536,53.8557307213464,6,2
10x_Oryza_sativa.fq,gtdb,lsh,43.83278083609582,56.16721916390418,6,2
10x_Prunus_persica.fq,gtdb,lsh,43.94828025859871,56.05171974140129,6,2
15x_Arabidopsis_lyrata.fq,gtdb,lsh,47.83326083369583,52.16673916630417,6,2
20x_Arabidopsis_thaliana.fq,gtdb,lsh,46.52076739616302,53.47923260383698,6,2
250x_Bathycoccus_prasinos.fq,gtdb,lsh,43.250783746081275,56.749216253918725,6,2
2x_Nicotiana_sylvestris.fq,gtdb,lsh,35.509322453387725,64.49067754661225,6,2
2x_Zea_mays.fq,gtdb,lsh,39.82330088349559,60.17669911650442,6,2
5x_Coffee_arabica.fq,gtdb,lsh,43.787781061094684,56.212218938905316,6,2
10x_Cca.fq,gtdb,lsh,31.673841630791845,68.32615836920816,6,3
10x_Cil.fq,gtdb,lsh,31.379843100784488,68.6201568992155,6,3
10x_Oryza_sativa.fq,gtdb,lsh,29.440352798236013,70.55964720176401,6,3
10x_Prunus_persica.fq,gtdb,lsh,28.31385843070785,71.68614156929216,6,3
15x_Arabidopsis_lyrata.fq,gtdb,lsh,32.66083669581652,67.33916330418346,6,3
20x_Arabidopsis_thaliana.fq,gtdb,lsh,31.01684491577543,68.98315508422458,6,3
250x_Bathycoccus_prasinos.fq,gtdb,lsh,27.526362368188163,72.47363763181185,6,3
2x_Nicotiana_sylvestris.fq,gtdb,lsh,21.31339343303284,78.68660656696716,6,3
2x_Zea_mays.fq,gtdb,lsh,23.860380698096513,76.1396193019035,6,3
5x_Coffee_arabica.fq,gtdb,lsh,27.974860125699372,72.02513987430062,6,3
